ID	Log2FC	FDR	AveExpr	P value	MUP-uPA_1 CPM	MUP-uPA_2 CPM	MUP-uPA_3 CPM	MUP-uPA_4 CPM	MUP-uPA-doubleTrt_1 CPM	MUP-uPA-doubleTrt_2 CPM	MUP-uPA-doubleTrt_3 CPM	MUP-uPA-doubleTrt_4 CPM
ENSMUSG00000074923	-1.080650293	0.348193816	-0.147148309	0.053390785	1.781	0.543	1.601	0.462	0.636	0.48	0.338	0.365
ENSMUSG00000098650	-1.7302193	0.348193816	1.743719462	0.05335334	8.196	0.111	8.522	3.875	3.551	0	0.943	1.023
ENSMUSG00000021577	0.306031407	0.348612416	8.62183985	0.053477844	347.101	381.985	374.314	386.878	418.802	422.302	414.463	388.359
ENSMUSG00000027314	-0.626656739	0.348757094	1.608577482	0.053539487	3.045	4.28	4.872	2.838	2.29	2.879	1.557	1.898
ENSMUSG00000028932	0.296181288	0.348757094	6.078371172	0.053568687	58.377	69.563	57.978	70.221	66.79	64.656	72.281	76.198
ENSMUSG00000033379	-0.277800543	0.348757094	5.035593232	0.053552095	39.014	43.001	35.218	34.847	28.879	27.77	25.853	28.83
ENSMUSG00000104724	-0.964536195	0.34958794	-0.504277396	0.053719241	0.632	0.951	0.696	0.924	0.382	0.3	0.474	0.292
ENSMUSG00000025076	-0.322199261	0.349947507	4.405670586	0.053797455	27.924	23.233	26.796	21.449	16.92	22.312	16.243	15.327
ENSMUSG00000022149	0.413623794	0.350022463	8.890240091	0.053831944	504.764	411.672	565.647	254.025	484.51	603.374	451.145	507.911
ENSMUSG00000028716	-0.669368219	0.350544908	2.384518331	0.053958294	5.171	5.57	8.7	6.93	2.608	1.859	4.873	5.401
ENSMUSG00000029311	0.330011508	0.350544908	5.570483633	0.053958162	51.539	32.404	44.405	49.102	53.877	53.08	53.06	39.777
ENSMUSG00000025466	-0.380722541	0.35076275	3.420186686	0.05401484	14.077	12.296	14.547	9.9	9.351	8.937	7.58	8.758
ENSMUSG00000030965	0.284608986	0.351037473	5.319434892	0.05410321	36.036	41.067	33.318	41.511	41.405	41.632	42.178	39.785
ENSMUSG00000113836	-0.854524084	0.351037473	0.292493329	0.054090336	1.896	1.019	1.392	1.584	0.827	0.96	0.812	0.292
ENSMUSG00000025648	-0.754536218	0.351645227	0.793056185	0.054221609	2.471	2.785	1.949	1.32	1.209	1.499	1.083	0.657
ENSMUSG00000107705	-0.484883245	0.351645227	2.83022923	0.054243024	8.617	8.676	9.833	7.396	5.527	3.768	5.217	7.332
ENSMUSG00000011831	0.321660988	0.352071702	7.753440725	0.054360817	198.225	201.009	171.705	238.844	210.863	208.842	252.305	230.855
ENSMUSG00000020241	-0.653687296	0.352071702	3.739623078	0.054378111	23.098	8.763	22.063	14.519	8.142	8.157	17.596	5.036
ENSMUSG00000025014	-0.522693749	0.352071702	2.166339978	0.054375461	7.067	5.299	5.498	3.96	3.753	3.719	3.519	2.482
ENSMUSG00000102415	-1.143534379	0.35241732	-0.815278062	0.054454615	0.575	0.679	0.835	0.462	0.127	0.12	0.338	0.438
ENSMUSG00000052889	-0.9041055	0.352680815	3.01981101	0.054520111	5.516	28.939	4.385	6.006	3.817	4.138	7.377	5.547
ENSMUSG00000085977	0.621909521	0.352680815	2.177394404	0.05454161	2.815	4.551	3.758	3.63	2.99	3.899	7.445	5.839
ENSMUSG00000025130	0.364983574	0.35276542	10.82725825	0.05457784	1907.648	1492.005	1544.862	1780.087	2031.928	2102.994	1795.578	1796.992
ENSMUSG00000024170	-0.614151913	0.353271209	1.75155054	0.054696212	4.826	5.299	4.385	2.178	2.035	2.939	2.301	2.336
ENSMUSG00000030411	0.989194108	0.353271209	-0.475727924	0.05472563	0.33	0.272	0.557	0.528	0.954	0.6	0.947	0.511
ENSMUSG00000056383	0.278772284	0.353271209	4.998870227	0.054715376	32.751	29.551	32.434	27.455	33.14	38.026	31.606	29.267
ENSMUSG00000103162	-1.048081011	0.3534077	-0.645061201	0.054769962	0.517	0.679	0.974	0.726	0.254	0.48	0.338	0.146
ENSMUSG00000018604	0.588984493	0.353604498	4.461445155	0.054846863	12.124	25.814	10.649	25.211	34.667	30.589	21.454	13.356
ENSMUSG00000030259	0.297326011	0.353604498	5.19283063	0.054837249	35.394	38.178	28.815	36.299	43.954	36.286	37.832	33.72
ENSMUSG00000086219	1.178008883	0.353942084	-0.804474499	0.054923846	0.345	0.272	0.487	0.066	0.254	0.72	0.677	0.73
ENSMUSG00000107499	-1.215198742	0.353942084	-0.742200864	0.054945671	0.661	1.038	0.2	0.834	0.296	0.383	0.084	0.261
ENSMUSG00000072244	-1.527570297	0.35408884	-0.967684999	0.054991686	0.345	0.543	0.487	0.99	0.572	0	0.068	0.073
ENSMUSG00000000093	-0.525647892	0.354117294	2.215284677	0.055019339	5.229	6.929	5.986	4.488	2.354	4.078	3.858	3.649
ENSMUSG00000036323	0.267324513	0.354216093	6.735382944	0.055057931	103.136	102.171	102.522	101.438	103.619	113.058	111.602	110.282
ENSMUSG00000006529	0.316891071	0.354343392	9.121789194	0.055100967	525.679	519.685	572.259	485.61	629.921	585.201	628.259	492.583
ENSMUSG00000026637	0.494338076	0.354348213	2.342407101	0.055124966	4.482	4.416	3.341	5.148	5.28	5.998	4.67	5.912
ENSMUSG00000015134	-1.176506908	0.355094135	-0.093293209	0.055347246	2.011	1.087	0.626	0.924	1.081	0.24	0.406	0.073
ENSMUSG00000024785	0.270836061	0.355094135	6.144366104	0.055342086	75.442	69.495	64.172	62.764	80.656	79.95	66.19	65.104
ENSMUSG00000033705	-0.335753936	0.355094135	4.139229367	0.055357501	22.893	23.264	16.489	20.239	14.381	16.084	16.333	11.678
ENSMUSG00000035133	0.291030548	0.355094135	7.548560933	0.055304221	181.796	158.555	195.439	176.412	197.124	181.612	203.442	193.997
ENSMUSG00000050323	-0.472454638	0.355094135	2.604207154	0.055349794	5.803	8.424	8.422	6.666	4.198	4.378	5.685	4.525
ENSMUSG00000020027	-0.716813059	0.355263062	3.899128615	0.055440612	25.281	7.201	24.012	20.987	8.524	5.518	9.34	18.247
ENSMUSG00000025812	0.266566379	0.355263062	6.513780724	0.055453764	91.53	95.377	86.723	78.405	98.658	102.562	85.546	89.627
ENSMUSG00000112148	-0.431701571	0.355263062	4.374967788	0.055423091	24.477	40.76	17.748	18.341	18.574	15.954	15.295	16.349
ENSMUSG00000032125	-0.473181133	0.355588262	3.604513635	0.055551188	11.032	22.69	14.755	11.154	8.142	11.276	7.512	11.021
ENSMUSG00000040345	-0.771917958	0.355588262	1.530508409	0.055544002	4.539	6.386	1.81	2.112	1.463	2.279	2.436	1.46
ENSMUSG00000061130	0.295724141	0.356017871	6.457101524	0.055665021	73.316	95.174	75.865	89.097	82.437	90.146	96.306	95.539
ENSMUSG00000105326	0.672842863	0.356017871	2.222738461	0.05565574	2.241	4.144	2.575	5.808	3.498	4.558	7.242	5.839
ENSMUSG00000114469	1.052127426	0.356300843	0.454588982	0.055732643	0.46	1.359	1.462	0.198	1.399	2.879	1.015	1.095
ENSMUSG00000026439	0.28576868	0.356344006	4.75737447	0.055777658	27.12	28.6	23.316	24.023	25.507	27.89	28.966	29.194
ENSMUSG00000033773	0.364931447	0.356344006	3.444047308	0.055786156	11.032	9.85	10.371	8.712	12.913	11.816	12.114	8.977
ENSMUSG00000002831	-0.690074745	0.356932985	4.897570282	0.056096097	27.522	45.379	12.807	67.582	25.762	28.249	18.815	13.429
ENSMUSG00000003228	0.783052548	0.356932985	2.122596206	0.056104831	3.85	2.921	2.297	4.158	2.544	2.339	7.106	8.174
ENSMUSG00000020889	-0.408086988	0.356932985	5.254957746	0.056135973	37.221	60.011	41.02	45.849	34.051	44.701	23.187	22.221
ENSMUSG00000023073	0.512405287	0.356932985	6.852105532	0.056113718	82.049	84.236	118.391	115.76	79.066	82.649	180.972	165.533
ENSMUSG00000027746	0.266086436	0.356932985	5.49845057	0.055979936	45.277	43.681	44.197	40.523	41.473	50.801	45.751	47.733
ENSMUSG00000030871	0.427263055	0.356932985	3.117830174	0.056113513	6.378	8.424	7.795	8.316	8.015	8.637	8.934	11.386
ENSMUSG00000040661	0.284917001	0.356932985	5.60946767	0.056048359	45.047	50.542	46.354	44.284	40.519	50.981	55.496	54.594
ENSMUSG00000041203	0.277901942	0.356932985	4.902572657	0.055998563	29.361	29.687	27.701	27.455	27.797	29.869	33.772	31.676
ENSMUSG00000047250	-0.543606612	0.356932985	4.036150669	0.056045668	13.273	37.838	17.4	14.057	12.588	16.734	9.746	11.021
ENSMUSG00000048498	-1.331296199	0.356932985	1.032272389	0.056032401	0.632	8.356	0.766	2.046	0.763	0.36	0.947	1.971
ENSMUSG00000075254	-0.315821955	0.356932985	5.352304878	0.055926764	44.645	61.071	46.354	40.127	38.802	33.108	38.171	27.078
ENSMUSG00000113786	0.593650631	0.357868841	1.77668974	0.056306639	2.709	2.594	2.682	3.159	4.335	3.19	5.085	2.445
ENSMUSG00000036197	0.307626436	0.35794093	4.807818911	0.056341466	25.454	30.366	25.196	24.815	34.921	28.729	24.094	28.611
ENSMUSG00000019818	0.352948715	0.358410637	8.05430601	0.056438917	193.574	279.339	230.379	282.074	244.068	255.025	319.104	303.695
ENSMUSG00000036632	0.299031793	0.358420229	4.548876334	0.056463944	19.306	24.592	21.367	23.165	23.281	26.15	24.5	23.064
ENSMUSG00000020089	0.292002211	0.358535072	7.068655567	0.056551747	147.034	106.654	137.879	119.654	142.357	134.29	141.11	138.966
ENSMUSG00000024426	0.542024921	0.358535072	3.209890068	0.056589168	5.286	8.555	5.846	11.603	8.856	7.857	11.641	12.405
ENSMUSG00000025017	-0.272346557	0.358535072	5.832910748	0.05667322	65.789	73.163	68.139	57.286	48.152	54.52	42.164	49.558
ENSMUSG00000027187	0.386340029	0.358535072	12.0333378	0.056621046	3595.175	3794.242	3677.086	4285.421	4129.5	4734.33	4609.311	4449.673
ENSMUSG00000028262	-1.267166087	0.358535072	-0.582712164	0.056680193	0.977	0.272	1.392	0.528	0.127	0.48	0.474	0.073
ENSMUSG00000028771	0.272178072	0.358535072	4.715887123	0.056689479	25.626	26.222	25.196	23.495	25.634	26.63	28.154	27.516
ENSMUSG00000029414	-1.061624858	0.358535072	0.083972215	0.056556102	2.528	0.747	1.044	0.924	0.509	0.48	0.203	1.022
ENSMUSG00000034853	0.580706564	0.358535072	3.463655697	0.056581645	5.746	14.741	5.498	11.088	11.513	16.614	8.392	12.919
