ID	Log2FC	FDR	AveExpr	P value	MUP-uPA CPM 1	MUP-uPA CPM 2	MUP-uPA CPM 3	MUP-uPA CPM 4	MuP-uPA/sgp130_BGP-15_CPM 1	MuP-uPA/sgp130_BGP-15_CPM 2	MuP-uPA/sgp130_BGP-15_CPM 3	MuP-uPA/sgp130_BGP-15_CPM 4
ENSMUSG00000031822	0.214257446	0.695900728	3.632565556	0.301668102	14.946	10.245	10.522	11.74	15.379	10.633	12.021	12.584
ENSMUSG00000004383	-0.281718228	0.695932975	2.787342138	0.301727749	8.507	5.804	11.175	5.968	7.263	7.021	4.076	5.077
ENSMUSG00000033182	0.483108345	0.696357841	0.422380494	0.301957649	0.643	1.148	0.984	1.356	1.816	1.826	0.799	0.974
ENSMUSG00000027782	0.160210675	0.69648154	6.252054419	0.302056992	78.568	65.499	84.83	72.16	79.03	74.988	76.967	76.993
ENSMUSG00000036940	-0.185362588	0.696545506	4.086665915	0.302130441	21.09	15.179	22.771	16.48	14.053	15.587	14.786	15.997
ENSMUSG00000020840	0.166470058	0.69655952	5.2101429	0.302182229	35.316	35.651	38.444	35.402	38.37	40.794	35.646	34.845
ENSMUSG00000098041	0.298725979	0.696706872	2.135174149	0.302291872	3.932	3.635	4.849	3.594	5.29	4.774	4.795	3.199
ENSMUSG00000052837	0.460219122	0.697013928	5.01582795	0.302470838	45.825	15.817	27.976	25.571	11.843	13.06	71.294	45.347
ENSMUSG00000069270	-0.681520837	0.697286573	-0.341305435	0.30263491	0.789	0.638	0.914	0.949	0.237	1.123	0	0.487
ENSMUSG00000001521	-0.530832276	0.697363443	0.673797263	0.303331633	3.217	0.829	2.811	0.543	1.026	1.264	0.959	1.252
ENSMUSG00000002778	-0.164230535	0.697363443	5.386871766	0.303583092	45.253	44.134	50.392	44.15	34.581	38.056	37.804	40.27
ENSMUSG00000020534	0.265203398	0.697363443	7.107281581	0.303533809	77.941	172.687	99.83	158.235	149.004	135.95	138.963	152.942
ENSMUSG00000022120	-0.4269332	0.697363443	0.902721033	0.302779652	2.145	1.531	3.514	1.221	1.421	1.685	1.039	1.461
ENSMUSG00000022394	-0.204696479	0.697363443	3.705147498	0.302908753	14.584	15.178	15.11	12.682	10.895	14.043	9.191	11.824
ENSMUSG00000025047	0.177627651	0.697363443	4.606457641	0.303583508	27.163	20.471	25.507	22.169	20.575	24.433	27.574	25.86
ENSMUSG00000026196	-0.764566069	0.697363443	-0.421882588	0.303117185	1.072	0.574	1.546	0.068	0.711	0.07	0.639	0.278
ENSMUSG00000028273	0.184840699	0.697363443	6.34064492	0.303292514	66.7	79.466	78.575	88.843	82.899	73.864	80.244	93.128
ENSMUSG00000035248	0.177046664	0.697363443	7.531227637	0.30297284	170.205	182.36	188.255	180.728	195.889	186.8	186.014	183.775
ENSMUSG00000037355	0.187968584	0.697363443	4.569327853	0.302745431	24.807	23.087	25.301	19.125	31.186	23.521	19.661	22.326
ENSMUSG00000038253	0.563133603	0.697363443	-0.544826518	0.303073525	0.643	0.446	0.422	0.339	0.316	0.632	0.719	0.835
ENSMUSG00000039886	-0.177960844	0.697363443	4.931425275	0.303559709	33.6	35.651	31.275	33.164	25.58	25.558	29.652	28.377
ENSMUSG00000041695	0.43828918	0.697363443	2.182972459	0.303280473	4.289	1.786	7.45	2.645	3.079	8.075	5.675	2.573
ENSMUSG00000043993	-0.553715775	0.697363443	0.783388116	0.302888156	1.215	2.551	1.406	2.441	2.447	1.123	0.24	1.113
ENSMUSG00000057894	0.208377389	0.697363443	3.431735241	0.303517268	12.368	7.908	11.175	10.105	12.553	10.883	9.591	10.85
ENSMUSG00000058126	-0.508946188	0.697363443	-0.270223215	0.302815736	0.786	0.829	0.914	0.814	0.79	0.491	0.32	0.556
ENSMUSG00000079012	0.273275941	0.697363443	7.664047853	0.303533873	243.996	194.201	110.623	208.477	173.771	161.209	291.245	221.032
ENSMUSG00000087574	-0.424343212	0.697363443	0.645802562	0.303365847	1.215	1.786	1.827	1.899	0.947	1.123	1.519	1.043
ENSMUSG00000091931	0.372896767	0.697363443	1.171911627	0.303173016	1.594	1.516	2.179	2.413	2.812	2.214	2.347	1.832
ENSMUSG00000105837	-0.623668587	0.697363443	0.961808347	0.303396815	0.858	3.444	0.422	3.934	2.132	0.983	0.959	1.391
ENSMUSG00000019647	0.206239786	0.697450282	3.971591397	0.303848344	18.802	12.309	19.257	10.783	16.896	15.166	17.184	14.675
ENSMUSG00000020238	-0.173156548	0.697450282	4.743627538	0.30376236	27.81	27.679	37.601	25.432	25.659	24.294	21.5	24.69
ENSMUSG00000027823	0.167989335	0.697450282	6.016232724	0.303784578	67.701	61.8	59.458	64.021	62.766	61.647	67.217	70.316
ENSMUSG00000036990	0.162740687	0.697450282	6.47706707	0.303850149	87.504	79.658	93.826	89.318	93.162	90.013	86.319	90.972
ENSMUSG00000111160	0.599909598	0.697450282	-0.014626993	0.303791132	1.072	0.574	0.773	0.475	1.658	0.351	1.598	0.417
ENSMUSG00000036845	-0.25966388	0.697705736	2.559952178	0.304050532	5.934	5.612	7.661	6.985	5.211	5.055	4.236	5.564
ENSMUSG00000046491	-0.4822112	0.697705736	0.147343337	0.304053008	1.144	0.702	1.968	0.949	0.632	0.702	0.959	0.765
ENSMUSG00000090038	0.397001199	0.697728115	1.544731012	0.304108546	3.745	1.531	1.898	2.916	1.974	2.598	3.952	3.584
ENSMUSG00000068966	0.351366832	0.697913937	1.701093581	0.304235336	3.289	2.934	2.53	2.645	4.263	4.353	2.398	2.434
ENSMUSG00000073460	-0.608191043	0.698415714	1.103223971	0.304499902	0.5	4.911	1.406	2.781	2.605	1.615	0.639	1.252
ENSMUSG00000038406	-0.185705818	0.698454557	4.09256451	0.30456267	17.873	15.753	23.474	18.447	14.527	16.219	15.665	14.258
ENSMUSG00000020657	0.43615444	0.698571474	0.960230161	0.305060088	1.787	1.658	2.319	0.746	1.263	2.106	2.797	1.808
ENSMUSG00000021962	0.234131231	0.698571474	3.406498192	0.305113941	10.938	6.569	14.689	8.681	12.237	10.392	11.429	9.389
ENSMUSG00000026309	0.17688942	0.698571474	4.384820914	0.304676293	21.797	18.553	20.089	20.816	21.001	24.294	19.175	20.031
ENSMUSG00000035949	0.165340699	0.698571474	5.496862104	0.305023047	40.749	43.879	51.165	41.37	45.239	45.919	47.635	43.678
ENSMUSG00000036371	0.178392428	0.698571474	7.967344297	0.304937349	255.935	222.634	265.435	237.162	241.243	261.891	264.55	250.174
